Municipality;age_18;age_19;age_20;age_21;age_22;age_23;age_24
Region Midtjylland;16415;16764;17836;18615;19208;19369;20009
Favrskov;678;554;548;385;282;252;309
Hedensted;647;579;508;379;311;318;328
Horsens;1126;1239;1294;1285;1179;1085;1159
Norddjurs;474;452;428;366;297;352;341
Odder;327;271;280;198;151;125;122
Randers;1218;1233;1216;1115;1034;1053;1145
Sams¿;13;15;18;24;13;16;14
Silkeborg;1315;1249;1111;923;764;710;773
Skanderborg;855;794;677;542;332;290;323
Syddjurs;501;483;451;312;282;239;278
Aarhus;3553;4259;5988;8647;10542;11185;11174
Herning;1138;1188;1277;1096;1027;937;985
Holstebro;734;811;729;692;647;600;625
Ikast-Brande;575;541;477;341;345;354;352
Lemvig;267;239;254;200;154;138;132
Ringk¿bing-Skjern;802;800;670;510;446;405;485
Skive;527;539;528;457;381;369;397
Struer;304;253;234;174;177;157;158
Viborg;1361;1265;1148;969;844;784;909